original_index,text,is_antisemitic,keyword,prediction_both_def,description,prediction_IHRA,description_IHRA,prediction_JD,description_JD
1462,"Father, God of Abraham, Isaac &amp; Jacob, you Bless those who Bless Israel &amp; curse those who curse Israel.
Thy servant President Trump has Blessed Israel.
Bless President Trump with another 4 yrs in office.
Grant him a Red Sea Deliverance.
Be exalted &amp; glorified in Jesus name Amen.",0,Israel,None,"This text is a religious prayer expressing support for Israel and President Trump based on biblical references. It contains no antisemitic content, conspiracy theories, or negative stereotypes about Jewish people. The prayer invokes the biblical promise to bless those who bless Israel, which is a positive religious sentiment rather than antisemitic discourse.",False,"This text is a religious prayer expressing support for Israel and invoking biblical blessings. It contains positive references to Israel and Jewish biblical figures (Abraham, Isaac, Jacob) without any antisemitic tropes, conspiracy theories, or negative stereotypes about Jewish people.",False,"This text expresses religious support for Israel and President Trump through biblical language and prayer. It does not contain antisemitic tropes, conspiracy theories, or negative generalizations about Jews. The content reflects positive religious sentiment toward Israel and does not demonstrate discrimination, prejudice, hostility, or violence against Jews as Jews."
5444,"And when he was come unto us, he took Paul's girdle, and bound his own hands and feet, and said, Thus saith the Holy Ghost, So shall the Jews at Jerusalem bind the man that owneth this girdle, and shall deliver him into the hands of the Gentiles.

Acts 21:11

#LearnFromTheBible",0,Jews,None,"This is a direct biblical quotation from Acts 21:11 describing a prophecy about Paul's arrest in Jerusalem. It is historical/religious text without antisemitic intent, stereotypes, or conspiracy theories - simply recounting a scriptural narrative about specific historical events.",False,"This is a direct biblical quotation from Acts 21:11 describing a prophetic warning about Paul's arrest in Jerusalem. The text is historical/religious scripture without antisemitic intent, stereotyping, or promotion of hatred against Jewish people as a collective.",False,This is a direct biblical quotation from Acts 21:11 describing a prophetic warning about Paul's arrest in Jerusalem. The text is historical/religious scripture rather than contemporary commentary targeting Jews as Jews with prejudice or hostility.
4590,not cool. many Jews reclaimed what their ancestors were forced to wear and now wear our symbol with pride. Non Jews have no business wearing it if you ask me,0,Jews,None,"This text discusses Jewish people reclaiming a symbol (likely the Star of David) that their ancestors were forced to wear, and expresses an opinion that non-Jews shouldn't wear it. This is a legitimate discussion about cultural appropriation and Jewish identity, not antisemitic content targeting Jews with hatred or stereotypes.",False,"This text expresses a personal opinion about who should wear Jewish symbols, specifically referencing historical persecution and cultural reclamation. While it expresses a restrictive view about non-Jews wearing Jewish symbols, it does not contain antisemitic content according to IHRA definition - it doesn't promote hatred, stereotypes, conspiracy theories, or any of the specific manifestations of antisemitism outlined in the definition.",False,"This text expresses a Jewish person's opinion about who should wear Jewish symbols, specifically referencing symbols that were historically forced upon Jews. This represents an in-group perspective on cultural/religious symbol usage rather than discrimination against Jews as Jews, and does not invoke antisemitic tropes or conspiracy theories."
1489,"4.2 million vaccinations in the US
1 million in Israel

Australia -  zero, and it wont be here for months

#BackOfTheQueue",0,Israel,None,"This text presents vaccination statistics comparing the US, Israel, and Australia, followed by a hashtag expressing frustration about Australia's position. There are no antisemitic tropes, conspiracy theories, or targeting of Jews as a collective - it's simply factual reporting about vaccination rollout differences between countries.",False,"This text compares vaccination rollout numbers between countries without making any antisemitic statements. It presents factual information about vaccination distribution and uses a hashtag expressing frustration about Australia's position, but contains no antisemitic tropes, conspiracy theories, or targeting of Jewish people.",False,This text compares vaccination rollout numbers between countries without making any statements about Jews as Jews or invoking antisemitic tropes. It appears to be factual commentary on vaccine distribution disparities and does not target Jews collectively or apply classical antisemitic stereotypes.
4471,"4 March 1943 | 1,000 Jews arrived at #Auschwitz from #Drancy. SS doctors sent 881 people to gas chambers. 19 women &amp; 100 men were registered. All men were sent to Sonderkommando. Among them was David Olère. After the war he showed his traumatic experience in drawings &amp; paintings. https://t.co/8pSSn1PKMo",0,Jews,None,"This text provides factual historical information about Holocaust events at Auschwitz, including specific dates, numbers, and the experience of survivor David Olère who documented his trauma through art. It contains no antisemitic content, conspiracy theories, or negative stereotypes about Jews.",False,"This text provides factual historical information about the Holocaust, specifically documenting the deportation of Jews to Auschwitz and the testimony of survivor David Olère. It does not deny, distort, or minimize the Holocaust, nor does it contain any antisemitic tropes or stereotypes.",False,"This text is a factual historical account of Holocaust events at Auschwitz, documenting the arrival and murder of Jews with specific details and honoring a survivor's artistic testimony. It does not contain any antisemitic content, conspiracy theories, or negative generalizations about Jews."
4698,RT : What are the similarities between the Ndebele Nation and the Jews? https://t.co/tG9VQJrCT5,0,Jews,None,"This text is simply a retweet asking about similarities between the Ndebele Nation and Jews, which appears to be a neutral comparative question without any antisemitic content, conspiracy theories, or negative stereotypes about Jewish people.",False,"This text is a retweet asking about similarities between the Ndebele Nation and Jews, which appears to be a neutral comparative question. There are no antisemitic tropes, stereotypes, conspiracy theories, or other elements that meet the IHRA definition of antisemitism present in this brief text.",False,"This text is a retweet asking about similarities between the Ndebele Nation and Jews, with a link to additional content. The question itself does not contain antisemitic tropes, conspiracy theories, or negative generalizations about Jews. Without access to the linked content, the visible text appears to be a neutral comparative question that does not demonstrate discrimination, prejudice, hostility, or violence against Jews as Jews."
11,"The #Danish Bible Society has removed dozens of references to 'Israel' from translations of the Hebrew Bible and the New Testament.

No one can rewrite history and delete #Israel from history. Israel is here yo stay, whether they like it or not. https://t.co/aeUx1paEUU",0,Israel,None,"This text criticizes the Danish Bible Society's translation decisions and affirms Israel's historical existence and permanence. It does not contain antisemitic tropes, conspiracy theories, or attacks on Jews as a people, but rather defends Israel's legitimacy and historical presence.",False,"This text criticizes the Danish Bible Society's editorial decision to remove references to 'Israel' from biblical translations and affirms Israel's historical existence and right to exist. The content does not contain antisemitic tropes, conspiracy theories, Holocaust denial, or other elements defined as antisemitic by the IHRA definition.",False,"This text criticizes a Danish Bible Society's translation decisions and expresses support for Israel's continued existence. It does not contain antisemitic tropes, conspiracy theories, or target Jews as Jews. The statement appears to be defending Israel's historical legitimacy rather than promoting discrimination against Jewish people."
5190,RT : Come on Jews the space lasers are supposed to be for hair removal only,0,Jews,IHRA Definition,"This text promotes an antisemitic conspiracy theory about Jews controlling space-based weapons technology ('space lasers'), which falls under the IHRA definition's category of 'myths about Jewish world conspiracy or Jewish control' of advanced technology and institutions.",True,"This text promotes an antisemitic conspiracy theory about Jews controlling space-based weapons technology ('space lasers'), which falls under the IHRA definition's category of 'mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews as a collective' and myths about Jewish control of technology/institutions.",True,"This text invokes the antisemitic conspiracy theory about Jewish space lasers, which links Jews to hidden technological power and evil conspiracies. The reference to 'space lasers' controlled by Jews is a modern variant of classical antisemitic tropes about Jews possessing secret, malevolent power."
1476,RT : could really use an Israel Folau shit take right now to cool things down a bit,0,Israel,None,"This text appears to be a casual social media comment referencing Israel Folau (likely the rugby player known for controversial statements) and suggesting his opinions might provide distraction from current events. There are no antisemitic tropes, conspiracy theories, or targeting of Jews as a collective present in this text.",False,"This text appears to be a casual social media comment referencing Israel Folau (likely the rugby player known for controversial statements) and suggesting his opinions might provide distraction from current events. There are no antisemitic elements, conspiracy theories, Holocaust references, or targeting of Jewish people as defined by the IHRA criteria.",False,"This text appears to be a casual social media comment referencing Israel Folau (likely the rugby player known for controversial statements) and suggesting his opinion might provide distraction from current tensions. There is no targeting of Jews as Jews, no antisemitic tropes, conspiracy theories, or Holocaust denial present in the text."
3987,"Armenians wrote ""Death to Jews"" and drew a swastika on the monument to the victims of the Holocaust in Yerevan. According to official statistics, 213 people of Jewish origin live in Armenia.
#StopThreateningTheJews
#KIAZteam",0,Jews,IHRA Definition,"The text reports antisemitic vandalism including 'Death to Jews' graffiti and swastika symbols on a Holocaust memorial, which constitutes calls for harming Jews and use of classic antisemitic symbols. This clearly meets IHRA criteria for antisemitism regardless of who perpetrated it.",False,"This text reports on an antisemitic incident (vandalism with 'Death to Jews' and swastika) rather than expressing antisemitic views itself. The text appears to condemn the incident through the hashtag #StopThreateningTheJews, making it a factual report opposing antisemitism rather than promoting it.",False,"This text reports on an antisemitic incident (vandalism with 'Death to Jews' and swastika) rather than expressing antisemitic views itself. The text appears to condemn the incident through the hashtag #StopThreateningTheJews, making it a factual report opposing antisemitism rather than promoting it."
567,"Bill Maher, Pete Buttigieg, Andrew Yang all praise the Trump Administration's historic Israel-UAE deal:

""There's no question that it's good news""

""A big deal"" https://t.co/TmFWPi6N8K",0,Israel,None,"This text reports factual information about political figures praising a diplomatic agreement between Israel and UAE. It contains no antisemitic content, conspiracy theories, or negative stereotypes about Jews, and simply documents positive reactions to a peace deal.",False,"This text reports factual information about political figures praising a diplomatic agreement between Israel and UAE. It contains no antisemitic tropes, conspiracy theories, Holocaust denial, or negative stereotypes about Jewish people, and discusses Israel in the context of legitimate diplomatic news.",False,"This text simply reports positive reactions from political figures to a diplomatic agreement between Israel and the UAE. It contains no discrimination, prejudice, hostility, or violence against Jews as Jews, nor does it invoke any antisemitic tropes or conspiracy theories."
3541,"Pnina Tamano-Shata, first Ethiopian-born woman to serve as an Israeli minister, forecasts 90,000 Jews to move to Israel over next 18 months, says bringing remaining members of Ethiopian Jewish community a priority https://t.co/rmvl2DhEW2",0,Jews,None,"This text is a factual news report about an Israeli minister's forecast regarding Jewish immigration to Israel, specifically mentioning Ethiopian Jewish community members. It contains no antisemitic content, conspiracy theories, or negative stereotypes about Jews.",False,"This text is a factual news report about an Israeli minister's forecast regarding Jewish immigration to Israel, specifically mentioning Ethiopian Jewish community members. It contains no antisemitic tropes, conspiracy theories, or negative stereotypes about Jewish people, and simply reports on immigration policy and demographic projections.",False,"This text is a factual news report about an Israeli minister's forecast regarding Jewish immigration to Israel, specifically mentioning Ethiopian Jewish community members. It contains no antisemitic tropes, conspiracy theories, or negative generalizations about Jews as Jews."
4531,"George Soros directs a “Deep State” global conspiracy network. A Joe Biden win would put America in control of “Jews and Blacks.” And he has a pedophilia problem

Wild disinfo like this is swamping Spanish-language residents in FL

via  &amp; me

https://t.co/HOgnTCl4KD",0,Jews,IHRA Definition,The text promotes classic antisemitic conspiracy theories about George Soros controlling a global network and references Jewish control of America. These are clear examples of myths about Jewish world conspiracy and collective Jewish power that the IHRA definition identifies as antisemitic.,True,"The text promotes classic antisemitic conspiracy theories about Jewish control, specifically referencing George Soros directing a global conspiracy network and claiming Jews would control America. These are clear examples of myths about Jewish world conspiracy as defined in the IHRA guidelines.",True,"The text contains classic antisemitic conspiracy theories, specifically linking George Soros (a Jewish individual) to a 'Deep State' global conspiracy network and claiming Jews would 'control' America. These are clear examples of conspiracy theories linking Jews to hidden power and control, which are core antisemitic tropes according to the Jerusalem Declaration."
5873,"""...millions of Jews in Gaza?"" ????

Dude, come on — *slight* exaggeration! ?????????

They evicted 8k Israelis frm 21 settlements inside Gaza, &amp; each family got &gt;$200k to resettle elsewhere. (Which was actually a sweet deal bc they could move somewhere they'd find more desirable.) ??",0,Jews,None,"The text discusses the 2005 Israeli disengagement from Gaza, correcting an apparent exaggeration about Jewish population numbers and providing factual information about the resettlement compensation. It contains no antisemitic tropes, conspiracy theories, or targeting of Jews as a collective.",False,"This text discusses the 2005 Israeli disengagement from Gaza, correcting an apparent exaggeration about Jewish population numbers there. It provides factual information about the evacuation of Israeli settlements and compensation given to families. The text does not contain antisemitic tropes, conspiracy theories, or harmful stereotypes about Jews as defined by the IHRA definition.",False,"This text discusses the 2005 Israeli disengagement from Gaza, correcting an apparent exaggeration about Jewish population numbers and providing factual information about the resettlement compensation. It does not contain antisemitic tropes, conspiracy theories, or discrimination against Jews as Jews, but rather appears to be factual commentary on a historical policy event."
5579,"We must introspect &amp; see what words hurt. We cannot be silent bystanders as Jews are scapegoated, but scream injustice when Muslims are attacked. Stand with #BLM but not  #lgbtq. Hate &amp; bigotry in all shape &amp; form must be countered by ALL of us.   #England",0,Jews,None,This text explicitly condemns antisemitism by stating 'We cannot be silent bystanders as Jews are scapegoated' and calls for standing against 'hate & bigotry in all shape & form.' The message promotes solidarity across different groups and opposes discrimination rather than perpetuating it.,False,"This text explicitly condemns antisemitism by stating 'We cannot be silent bystanders as Jews are scapegoated' and calls for standing against 'hate & bigotry in all shape & form.' The message promotes solidarity across different groups and opposes scapegoating of Jews, which is the opposite of antisemitic content.",False,"This text explicitly condemns scapegoating of Jews and calls for standing against hate and bigotry in all forms. It advocates for solidarity across different groups (Jews, Muslims, BLM, LGBTQ) rather than targeting Jews with discrimination or prejudice."
4296,"Nearly two-thirds of US adults unaware 6m Jews killed in the Holocaust. The lowest-scoring states were Florida at 20%, Mississippi at 18% and Arkansas at 17%. https://t.co/zIdDzwt1qY",0,Jews,None,"This text reports factual survey data about Holocaust knowledge in the US without any antisemitic content. It presents statistical information about public awareness of Holocaust casualties in a neutral, educational manner without employing any antisemitic tropes, conspiracy theories, or negative characterizations of Jews.",False,"This text reports factual survey data about Holocaust awareness in the US without denying, distorting, or minimizing the Holocaust. It presents statistical information about public knowledge gaps rather than promoting antisemitic views or conspiracy theories.",False,"This text reports factual survey data about Holocaust knowledge levels in the US without denying, minimizing, or distorting the Holocaust. It acknowledges the 6 million figure and presents educational statistics rather than expressing antisemitic views."
1292,"Israel Vaccinates Over One-Tenth of Population, But Palestinians in Occupied Territories Left Out of Rollout https://t.co/RIv8axGZ0i",0,Israel,None,"This text reports factual information about vaccine distribution disparities between Israel and Palestinians in occupied territories. It does not contain antisemitic tropes, conspiracy theories, or target Jews as a collective, but rather presents a policy criticism based on observable facts about healthcare access.",False,"This text reports factual information about vaccine distribution disparities between Israel and Palestinians in occupied territories. It does not contain antisemitic tropes, conspiracy theories, or stereotypes about Jewish people, nor does it apply double standards to Israel beyond what might be expected of other countries in similar situations.",False,"This text reports factual information about vaccine distribution disparities between Israel and Palestinians in occupied territories. It presents evidence-based criticism of Israeli policy regarding healthcare access without invoking antisemitic tropes, conspiracy theories, or targeting Jews as Jews."
1822,Incitement to the genocide of Jews is widespread inside mosques in the US. The Muslim community must end this hatre… https://t.co/gzI83MFeUn,0,Jews,IHRA Definition,"This text makes a sweeping generalization about mosques in the US promoting genocide against Jews and attributes collective responsibility to the entire Muslim community. It promotes stereotypical allegations about Muslims as a collective group in relation to antisemitism, which fits the IHRA definition's criteria for antisemitic content.",False,"While the text makes a broad generalization about mosques and the Muslim community, it does not contain antisemitic content according to the IHRA definition. The statement expresses concern about alleged incitement against Jews rather than promoting antisemitic views, stereotypes, or hatred toward Jewish people itself.",True,"This text makes sweeping negative generalizations about Muslims and mosques in the US, claiming widespread incitement to genocide against Jews without evidence. It essentializes an entire religious community as harboring genocidal hatred toward Jews, which constitutes discrimination and prejudice against Jews by promoting harmful stereotypes about Muslims while simultaneously targeting Jews through inflammatory claims."
42,"You don't get to label anyone critical of Israel and the weaponisation of antisemitism as ""a crank"" and label the evidenceless claims of former Guido employees as ""something to be taken seriously"" and then be angry RLB took the only stance that wouldn't lead to mass condemnation",0,Israel,None,"This text criticizes the weaponization of antisemitism accusations and discusses political stances regarding Israel criticism, but does not contain antisemitic content itself. It appears to be defending the right to criticize Israel without being labeled antisemitic, which falls under legitimate political discourse rather than antisemitism according to both definitions.",False,"This text criticizes the handling of antisemitism allegations and political responses without employing antisemitic tropes, conspiracy theories, or targeting Jews as a collective. It discusses political strategy and media coverage rather than making antisemitic claims about Jewish people or Israel.",False,"This text criticizes the 'weaponisation of antisemitism' in political discourse around Israel criticism, but does not target Jews as Jews or invoke antisemitic tropes. It appears to be commentary on political strategy and media coverage rather than expressing prejudice against Jewish people."
2762,"Jews and Muslims. Chants in Hebrew and Arabic.

This is the protest tonight in the streets of Tel Aviv against Trump’s “peace plan.”

Trump is rejected not just in the United States, but around the world.

 https://t.co/K7wWDSp92U",0,Jews,None,"The text describes a protest in Tel Aviv with Jewish and Muslim participants chanting against Trump's peace plan. It presents factual reporting about political opposition to a specific policy without employing antisemitic tropes, stereotypes, or targeting Jews as a collective group.",False,"This text reports factually on a protest in Tel Aviv against Trump's peace plan, mentioning Jewish and Muslim participants without employing antisemitic tropes, stereotypes, or conspiracy theories. It presents straightforward political commentary about opposition to a specific policy without targeting Jews as a collective or using any elements defined as antisemitic by the IHRA definition.",False,"This text describes a protest in Tel Aviv against Trump's peace plan, noting participation by both Jews and Muslims. It makes a factual observation about political opposition to a specific policy without invoking antisemitic tropes, conspiracy theories, or targeting Jews as Jews."
3686,"Nazis killed 6 mil Jews. Islamic invaders including Mughals killed 100 mil Hindus. After WW2 Germany destroyed all Nazi Symbols including #hakenkreuz on every grave.
In India, genocide of Hindus is celebrated as History &amp; we are taught how great our killers were!",0,Jews,None,"The text makes historical claims about genocides against both Jews and Hindus without targeting Jews specifically or employing antisemitic tropes. While it contains controversial historical comparisons, it acknowledges the Holocaust as factual and does not demonstrate discrimination against Jews as Jews.",False,"The text acknowledges the Holocaust as historical fact (6 million Jews killed by Nazis) and does not contain antisemitic content according to IHRA definition. While it makes comparative claims about other historical genocides and criticizes educational approaches in India, it does not target Jews with stereotypes, conspiracy theories, or other antisemitic tropes outlined in the IHRA definition.",False,"This text discusses historical genocides and their commemoration without targeting Jews as Jews or invoking antisemitic tropes. While it makes comparative claims about historical events and their treatment, it does not demonstrate discrimination, prejudice, hostility, or violence against Jews as Jews according to the Jerusalem Declaration definition."
4113,RT : Jews in NYC just cut the lock  put on their park ???? https://t.co/77431im2Ge,0,Jews,None,"The text appears to be a factual report about Jews in NYC cutting a lock on a park, likely during COVID-19 restrictions. There are no antisemitic tropes, stereotypes, conspiracy theories, or negative characterizations of Jews present in this brief statement.",False,"This text appears to be reporting on an incident where Jewish people in NYC cut a lock on a park. The statement is factual reporting without employing antisemitic tropes, stereotypes, or conspiracy theories. It does not contain dehumanizing language, Holocaust denial, dual loyalty accusations, or other elements defined as antisemitic by the IHRA definition.",False,"This text reports on Jews cutting a lock on a park without making negative generalizations about Jews as a group, invoking antisemitic tropes, or expressing hostility toward Jews as Jews. It appears to be a factual report of an action taken by specific individuals."
4022,"Wiping history out harms my Jewish children. For example, I taught them about Ulysses Grant expelling Jews from Kentucky, a state where in modern times their own family bred thoroughbred horses. I also taught them about his lifelong remorse for this act and his desire to repent.",0,Jews,None,"This text discusses teaching Jewish children about historical antisemitism (Grant's expulsion of Jews) and subsequent remorse, presented as educational content about family history. It contains no antisemitic tropes, conspiracy theories, or negative characterizations of Jews.",False,"This text discusses historical antisemitism (Grant's expulsion of Jews) in an educational context and does not contain any antisemitic content according to the IHRA definition. The speaker is teaching their Jewish children about both historical persecution and subsequent remorse, which is factual historical education rather than promoting antisemitic views.",False,"This text discusses teaching Jewish children about historical antisemitism (Grant's expulsion of Jews) and redemption, showing care for Jewish education and memory. It does not demonstrate discrimination, prejudice, hostility, or violence against Jews as Jews, but rather advocates for preserving Jewish historical memory."
4308,"There's no such thing as ""the Jewish community"". There are religious Jews, non-religious Jews, Zionist Jews, anti-Zionist Jews, Tory Jews, socialist Jews.

When Ed Miliband was Labour Leader, Maureen Lipman quit the party because he wasn't pro-Israel enough. They're both Jewish. https://t.co/vhrgUXN1W9",0,Jews,None,"The text makes factual observations about diversity within Jewish communities and provides a specific historical example of political disagreement between two Jewish individuals. It does not employ antisemitic tropes, stereotypes, or conspiracy theories, but rather emphasizes Jewish political and religious diversity.",False,"The text acknowledges diversity within Jewish communities and provides a factual example about political differences between Jewish individuals. It does not contain antisemitic stereotypes, conspiracy theories, or other elements defined as antisemitic by the IHRA definition.",False,"This text argues against treating Jews as a monolithic group and provides a concrete example of political diversity among Jews (Miliband vs. Lipman on Israel). Rather than essentializing Jews or promoting antisemitic tropes, it explicitly recognizes Jewish diversity and rejects generalizations about Jewish political views."
