original_index,text,is_antisemitic,keyword,prediction,description,model,max_tokens,temperature,usage,text_clean
802,"""Israel invests considerable resources there on infrastructure and social services, but non-Jews are not allowed to live in the settlements - even though they are often built on confiscated land privately owned by Palestinians"" https://t.co/o9PG9Wbctc",1,Jews,False,"This text presents factual criticism about Israeli settlement policies regarding land use and residency restrictions. It does not contain antisemitic stereotypes, conspiracy theories, or hatred toward Jews as a people, and represents criticism of Israel similar to that which might be leveled against any other country.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3826, 'completion_tokens': 77, 'total_tokens': 3903}",israel invests considerable resources there on infrastructure and social services but nonjews are not allowed to live in the settlements even though they are often built on confiscated land privately owned by palestinians
117,"Two weeks into the pandemic, israel injured 200 Palestinians, arrested 100, spat on their door handles &amp; demolished 16 family homes #Vile https://t.co/1dfAiUMdnt",1,Israel,False,"This text criticizes specific Israeli government actions during the pandemic without employing antisemitic stereotypes, conspiracy theories, or double standards not applied to other nations. The criticism focuses on concrete alleged policy actions rather than targeting Jews as a people or using antisemitic tropes.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3818, 'completion_tokens': 75, 'total_tokens': 3893}",two weeks into the pandemic israel injured 200 palestinians arrested 100 spat on their door handles amp demolished 16 family homes vile
1217,"Learn Facts:\n#MenachemBegin was a #WarCriminal who MURDERED Jews, Englishmen &amp; Arabs. He was a WANTED TERRORIST by the British, bragged about being “the father of terrorism in all the world”, later became the PM of #Israel &amp; RECEIVED A NOBEL PEACE PRIZE. \n**This is INSANE!!!** https://t.co/WmmbHnfO6q",1,Jews,False,"The text criticizes Menachem Begin as an individual political figure and his specific actions, calling him a war criminal and terrorist. While harsh, this constitutes criticism of a particular person rather than making stereotypical allegations about Jews as a collective or employing antisemitic tropes about Jewish character or conspiracy.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3870, 'completion_tokens': 84, 'total_tokens': 3954}",learn factsnmenachembegin was a warcriminal who murdered jews englishmen amp arabs he was a wanted terrorist by the british bragged about being the father of terrorism in all the world later became the pm of israel amp received a nobel peace prize nthis is insane
497,These motherfuckers shot my cousin over a fucking generator. Fuck anyone who tries to portray the occupying forces of Israel as anything but cowardly thugs. https://t.co/ULX4FFsC0w,1,Israel,False,"While the text contains strong criticism and profanity directed at Israeli forces, it describes a specific incident involving the author's cousin and a generator. The criticism appears to be based on particular actions rather than targeting Jews as a collective or employing antisemitic stereotypes, conspiracy theories, or other manifestations outlined in the IHRA definition.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3819, 'completion_tokens': 89, 'total_tokens': 3908}",these motherfuckers shot my cousin over a fucking generator fuck anyone who tries to portray the occupying forces of israel as anything but cowardly thugs
3366,RT : The media framing always portrays the Palestinians as 'extremists' or 'militants' when they fightback against the people occupying their land. But these interviews show the extremists actually reside in Israel. These everyday Zionists are advocating genocide. https://t.co/5VnXBbKNge,1,Israel,False,"The text criticizes Israeli policies and actions, and uses the term 'Zionists' to refer to specific individuals advocating certain positions. While critical of Israel, this appears to be political criticism similar to that leveled against other countries rather than targeting Jews as a collective or employing antisemitic stereotypes.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3842, 'completion_tokens': 85, 'total_tokens': 3927}",rt the media framing always portrays the palestinians as extremists or militants when they fightback against the people occupying their land but these interviews show the extremists actually reside in israel these everyday zionists are advocating genocide
176,Speaking of creating Israel he says and I quote... \n\n“...I shall be grateful if you would bring this declaration to the knowledge of the Zionist Federation...” https://t.co/UDmV1B55uH,1,Israel,False,"The text appears to quote historical documentation about the creation of Israel and mentions the Zionist Federation in what seems to be a factual, historical context. There are no antisemitic allegations, stereotypes, or manifestations present according to the IHRA definition.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3819, 'completion_tokens': 74, 'total_tokens': 3893}",speaking of creating israel he says and i quote nni shall be grateful if you would bring this declaration to the knowledge of the zionist federation
3336,"RT : Yes.  1. Because Israel kidnapped and torture the children of Palestine, not use them as a shield.  2. Because Israel launched the rockets towards the civilian, not store in there.  3. Because Israel turned the hospitals into a flat area by bombing them, not as a launchpad.  ðŸ¤·ðŸ»â€â™‚ï¸ https://t.co/ZMpY28Zrui",1,Israel,False,"The text criticizes Israeli military actions and policies regarding treatment of Palestinian children, civilian targeting, and hospital bombings. While highly critical of Israel, this represents criticism of Israeli government actions similar to criticism that could be leveled against any other country, which the IHRA definition explicitly states 'cannot be regarded as antisemitic.'",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3874, 'completion_tokens': 88, 'total_tokens': 3962}",rt yes 1 because israel kidnapped and torture the children of palestine not use them as a shield 2 because israel launched the rockets towards the civilian not store in there 3 because israel turned the hospitals into a flat area by bombing them not as a launchpad ðÿðÿââï
3121,"Israel is Anti-Childhood  Farah Esleem, a Palestinian girl who had her leg amputated in an Israeli raid during the recent #Gaza aggression, returns to her school after having a prosthetic limb in Jordan.  She has a difficult path ahead of her in this ""new life"" https://t.co/X3pjxXqDmw",1,Israel,False,"The text criticizes Israeli military actions and their impact on Palestinian children, specifically describing a girl who lost her leg in an Israeli raid. While critical of Israel, this appears to be criticism of specific military actions and their humanitarian consequences, similar to criticism that could be leveled against any other country's military operations, rather than targeting Israel as a Jewish collectivity or employing antisemitic stereotypes.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3850, 'completion_tokens': 100, 'total_tokens': 3950}",israel is antichildhood farah esleem a palestinian girl who had her leg amputated in an israeli raid during the recent gaza aggression returns to her school after having a prosthetic limb in jordan she has a difficult path ahead of her in this new life
1178,"One old man, as he passed me, hissed: 'Germany will pay a heavy penance for this mass murder of the Jews.' His eyes glowed with hatred as he said this. Nevertheless he walked calmly into the gas-chamber.\nRudolf Hoss https://t.co/mwuwFsOEjH",1,Jews,False,"This text appears to be a historical quote from Rudolf Höss, the commandant of Auschwitz, describing events during the Holocaust. While it contains disturbing content about the murder of Jews, it is presented as historical documentation rather than expressing hatred toward Jews or promoting antisemitic views. The quote itself does not contain antisemitic allegations, stereotypes, or manifestations as defined by the IHRA guidelines.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3843, 'completion_tokens': 106, 'total_tokens': 3949}",one old man as he passed me hissed germany will pay a heavy penance for this mass murder of the jews his eyes glowed with hatred as he said this nevertheless he walked calmly into the gaschambernrudolf hoss
679,"This is an antisemitic tweet, equating all Jews with Israel’s brutal kid-murdering airforce.\n\nImagine if it said equally antisemitic: “Jews: Now murdering Palestinian children for sport”.\n\nBut this is unwritten clause of IHRA def: you cannot be antisemitic if you are pro-Israel. https://t.co/W7En7sLx2s",1,Jews,False,"The text criticizes what it perceives as antisemitism in another tweet and discusses the IHRA definition's application. It does not express hatred toward Jews, make stereotypical allegations about Jews, or target Jewish individuals or institutions. The text is analyzing antisemitism rather than expressing it.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3861, 'completion_tokens': 80, 'total_tokens': 3941}",this is an antisemitic tweet equating all jews with israels brutal kidmurdering airforcennimagine if it said equally antisemitic jews now murdering palestinian children for sportnnbut this is unwritten clause of ihra def you cannot be antisemitic if you are proisrael
2382,Israel get's another $38 billion.  And here is Trump's glistening new infrastructure that was promised. Dams failing and cities flooded.  Just another day in Amerika. https://t.co/oyjRlVT9y2,1,Israel,False,"The text criticizes U.S. aid to Israel and contrasts it with domestic infrastructure problems, but this constitutes criticism of government policy rather than antisemitic content. There are no stereotypical allegations about Jews, conspiracy theories, or other elements that would qualify as antisemitic under the IHRA definition.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3823, 'completion_tokens': 85, 'total_tokens': 3908}",israel gets another 38 billion and here is trumps glistening new infrastructure that was promised dams failing and cities flooded just another day in amerika
821,I am a MUSLIM.\nChristians kill me in Iraq.\nBuddhist kill me in Burma.\nJews kill me in Palestine.\nHindus  kill me in Kashmir.\nAtheist kills me in New Zealand.\nBut still I am a Terrorist. https://t.co/BeTnkPy7Cj,1,Jews,False,"The text expresses frustration about Muslims being labeled as terrorists despite being victims of violence from various religious groups including Jews. While it mentions Jews killing Muslims in Palestine, this appears to be a political statement about conflict rather than expressing hatred toward Jews as a people or employing antisemitic stereotypes.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3847, 'completion_tokens': 80, 'total_tokens': 3927}",i am a muslimnchristians kill me in iraqnbuddhist kill me in burmanjews kill me in palestinenhindus kill me in kashmirnatheist kills me in new zealandnbut still i am a terrorist
1781,"#AnswersFromTheBible\n\n""but we preach Christ crucified, a stumbling block to Jews and folly to Gentiles,""\n\n1 Corinthians 1:23\nEnglish Standard Version (ESV)\n\nDownload Omega: https://t.co/7pdk5uZ9uZ",1,Jews,False,"This text is a direct biblical quotation from 1 Corinthians 1:23 without additional commentary that would make it antisemitic. While the verse mentions Jews in a religious context, it is presented as scripture rather than as a contemporary attack or stereotype against Jewish people.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3851, 'completion_tokens': 79, 'total_tokens': 3930}",answersfromthebiblennbut we preach christ crucified a stumbling block to jews and folly to gentilesnn1 corinthians 123nenglish standard version esvnndownload omega
744,"the trump admin is the worst danger to Jews, POC &amp; Democracy- https://t.co/pQuVuCGraG",1,Jews,False,"The text expresses political criticism of the Trump administration regarding its impact on Jews, people of color, and democracy. This is standard political commentary that does not contain any antisemitic stereotypes, conspiracy theories, or hatred toward Jews as defined by the IHRA definition.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3799, 'completion_tokens': 75, 'total_tokens': 3874}",the trump admin is the worst danger to jews poc amp democracy
177,"You Are Not Against Terrorism If you Can't speak Against Israel!\n\nIsrael Is Real Terrorist!\n\nWorld Is Silent Against Israel,\nWorld Is Not Against Terrorism,\nWorks is Against Islam!\n\n#PalestineWillBeFree https://t.co/FnX9IPBnzy",1,Israel,False,"The text criticizes Israel's actions and calls Israel a 'terrorist' state, but this constitutes criticism of Israel similar to criticism that could be leveled against any other country. The text does not employ antisemitic stereotypes, conspiracy theories about Jews, or target Jews as a collective, making it political criticism rather than antisemitism under the IHRA definition.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3846, 'completion_tokens': 96, 'total_tokens': 3942}",you are not against terrorism if you cant speak against israelnnisrael is real terroristnnworld is silent against israelnworld is not against terrorismnworks is against islamnnpalestinewillbefree
3316,"RT : Killing children , attacking mosques with bombs , this is Israel  #GazaUnderAttack https://t.co/1pDK4PPGYB",1,Israel,False,"The text criticizes specific Israeli military actions (killing children, bombing mosques) in the context of Gaza conflict. This constitutes criticism of Israel similar to that which could be leveled against any other country engaged in military operations, and does not employ antisemitic stereotypes, conspiracy theories, or other manifestations outlined in the IHRA definition.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3807, 'completion_tokens': 91, 'total_tokens': 3898}",rt killing children attacking mosques with bombs this is israel gazaunderattack
508,"Meet Sulieman Qatash (17), from Ramallah; he is the youngest administrative detainee in the Israeli prisons. ""Israel"" has recently extended the detention of Sulieman to 4 more months, knowing that he was detained in December 2019 &amp;this is the 4th time his detention gets extended. https://t.co/WBSdPNZ7hf",1,Israel,False,"This text reports on the administrative detention of a Palestinian minor without making any antisemitic allegations, stereotypes, or targeting Jews as a collective. It criticizes Israeli detention policies, which constitutes legitimate criticism of Israel similar to criticism that could be leveled against any other country, and therefore does not meet the IHRA definition of antisemitism.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3862, 'completion_tokens': 91, 'total_tokens': 3953}",meet sulieman qatash 17 from ramallah he is the youngest administrative detainee in the israeli prisons israel has recently extended the detention of sulieman to 4 more months knowing that he was detained in december 2019 ampthis is the 4th time his detention gets extended
2576,"The issue is not whether Jews deserve a homeland, or have a historic connection to the land of Palestine, of course� https://t.co/cbKHpr9JV5",1,Jews,False,"The text acknowledges that Jews deserve a homeland and have a historic connection to Palestine, which is consistent with recognizing Jewish rights to self-determination. There are no antisemitic stereotypes, conspiracy theories, or denial of Jewish rights present in this statement.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3806, 'completion_tokens': 72, 'total_tokens': 3878}",the issue is not whether jews deserve a homeland or have a historic connection to the land of palestine of course
2449,My latest article: Who matters? - Focusing on the #COVID19 pandemic as it impacts Israel/Palestine provides us with a unique case study of the realities of health care and public health in a racialized and unequal society:   https://t.co/JRjYSSKbIK https://t.co/Vz23otPabH,1,Israel,False,"The text discusses COVID-19's impact on healthcare in Israel/Palestine, focusing on racial and social inequalities. This appears to be academic or policy analysis of health disparities rather than expressing hatred toward Jews or employing antisemitic stereotypes, conspiracy theories, or double standards against Israel.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3849, 'completion_tokens': 79, 'total_tokens': 3928}",my latest article who matters focusing on the covid19 pandemic as it impacts israelpalestine provides us with a unique case study of the realities of health care and public health in a racialized and unequal society
386,"Netanyahu threatens to assassinate Palestinian resistance leaders in Gaza, because bloodshed &amp; killing is all israel knows #InhumanIsrael https://t.co/N1QJA1bAir",1,Israel,False,"This text criticizes Israeli military actions and Netanyahu's policies toward Gaza, which constitutes criticism of Israel similar to that leveled against other countries. While it uses strong language like 'bloodshed & killing is all israel knows,' it does not invoke antisemitic stereotypes, conspiracy theories, or target Jews as a collective, but rather focuses on specific political and military actions.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3813, 'completion_tokens': 97, 'total_tokens': 3910}",netanyahu threatens to assassinate palestinian resistance leaders in gaza because bloodshed amp killing is all israel knows inhumanisrael
2906,"True!  Hasidic Jews have ENTIRE cities of their own in the state of New York, almost completely publicly subsidized. https://t.co/9RvHfRCN5Z",1,Jews,False,"The text makes a factual claim about Hasidic Jewish communities in New York receiving public subsidies. While it may contain inaccuracies, it does not employ antisemitic stereotypes, conspiracy theories, or hatred toward Jews as defined by the IHRA guidelines.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3812, 'completion_tokens': 78, 'total_tokens': 3890}",true hasidic jews have entire cities of their own in the state of new york almost completely publicly subsidized
2459,"Israel shoots a young Palestinian through the neck as he desperately tried to save his building materials being stolen by israeli ""soldiers"" https://t.co/MAUhAvCFJY",1,Israel,False,"This text criticizes specific Israeli military actions against a Palestinian individual, which constitutes criticism of Israel similar to that leveled against any other country. The text does not contain antisemitic stereotypes, conspiracy theories about Jews, or other manifestations outlined in the IHRA definition.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3807, 'completion_tokens': 77, 'total_tokens': 3884}",israel shoots a young palestinian through the neck as he desperately tried to save his building materials being stolen by israeli soldiers
2422,israel has been stealing land and taking it by violence and no one is saying shit. they are literally wiping out/illegally annexing a whole ass country and the west isn�t doing shit about it because they benefit from the destruction. https://t.co/yBGpaLiOOv,1,Israel,False,"The text criticizes Israeli government policies regarding land and annexation, which constitutes criticism of Israel similar to that leveled against other countries. It does not target Jews as a people, employ antisemitic stereotypes, or apply double standards that wouldn't be applied to other nations.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3832, 'completion_tokens': 77, 'total_tokens': 3909}",israel has been stealing land and taking it by violence and no one is saying shit they are literally wiping outillegally annexing a whole ass country and the west isnt doing shit about it because they benefit from the destruction
438,STOP ANNEXATION ON PALESTINE 🇵🇸\n\nShame on Israel and Trump for endorsing such calamity. The international community must intervene now or never!\n\nLove and support from Malaysian Youth! \n\nWhat is annexation? Read below https://t.co/5fLsMjp0YJ,1,Israel,False,"This text criticizes Israeli policy regarding annexation of Palestinian territory and calls for international intervention. While it expresses strong opposition to Israeli actions, it constitutes criticism of Israel similar to that which might be leveled against any other country, which the IHRA definition explicitly states 'cannot be regarded as antisemitic.' The text does not employ antisemitic stereotypes, conspiracy theories, or other manifestations outlined in the definition.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3848, 'completion_tokens': 108, 'total_tokens': 3956}",stop annexation on palestine nnshame on israel and trump for endorsing such calamity the international community must intervene now or nevernnlove and support from malaysian youth nnwhat is annexation read below
511,"""Israel transports batches of the Pfizer/BioNTech vaccine deep inside the West Bank. But they are only distributed to Jewish settlers."" Any story on Israel's vaccine roll out that skips its racist application in occupied territory is woefully incomplete.\nhttps://t.co/3JH3j2MoIV",1,Israel,False,"The text criticizes Israel's vaccine distribution policy in occupied territory as racist, which constitutes criticism of Israeli government policy similar to criticism that could be leveled against any other country. This does not meet the IHRA definition's threshold for antisemitism as it does not target Jews as a collective, employ antisemitic stereotypes, or apply double standards beyond normal political criticism.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3841, 'completion_tokens': 97, 'total_tokens': 3938}",israel transports batches of the pfizerbiontech vaccine deep inside the west bank but they are only distributed to jewish settlers any story on israels vaccine roll out that skips its racist application in occupied territory is woefully incompleten
579,"By buying items made by Israel &amp; those companies who make products in Israel &amp; directly or indirectly support Israel - you are contributing to their economy supporting the massacre and genocide of innocent Palestinians, who are surrounded and are being attacked by air,sea &amp; land. https://t.co/nKsTncxYfR",1,Israel,False,"The text criticizes Israeli policies and calls for boycotting Israeli products due to alleged harm to Palestinians. While strongly worded, this represents criticism of Israel's actions similar to criticism that could be leveled against any other country, which the IHRA definition explicitly states 'cannot be regarded as antisemitic.' The text does not target Jews as a people, employ antisemitic stereotypes, or deny Israel's right to exist.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3840, 'completion_tokens': 109, 'total_tokens': 3949}",by buying items made by israel amp those companies who make products in israel amp directly or indirectly support israel you are contributing to their economy supporting the massacre and genocide of innocent palestinians who are surrounded and are being attacked by airsea amp land
3313,RT : The world has been criminally negligent to the plight of Palestinians for too long. Israel targeting children &amp; unarmed civilians is terrorism at its worst. I strongly condemn this brutality in Al Aqsa Mosque &amp; Gaza. My heart goes out to the victims. The world must act &amp; act NOW https://t.co/wR5NHgvRZI,1,Israel,False,"This text criticizes Israeli actions and expresses support for Palestinians, but does not contain antisemitic content according to the IHRA definition. The criticism focuses on specific Israeli policies and actions rather than making stereotypical allegations about Jews as a collective, denying Jewish self-determination, or applying double standards not expected of other democratic nations.",anthropic/claude-sonnet-4,800,0.0,"{'prompt_tokens': 3857, 'completion_tokens': 89, 'total_tokens': 3946}",rt the world has been criminally negligent to the plight of palestinians for too long israel targeting children amp unarmed civilians is terrorism at its worst i strongly condemn this brutality in al aqsa mosque amp gaza my heart goes out to the victims the world must act amp act now
