text,is_antisemitic,prediction,original_index,ID,CreateDate,Username,description,keyword,original_text,error_type
"As our Founder Quaid-e-Azam Muhammad Ali Jinnah said:\n""Israel is an illegal child of the west""",1,1,70,1294915412254240769,2020-08-16 08:34:27+00:00,scorpion0343793,"The text characterizes Israel as an 'illegal child of the west,' which denies the Jewish people their right to self-determination by claiming Israel's existence is illegitimate. This falls under IHRA guideline 2.1.7 which identifies denying the Jewish people their right to self-determination as antisemitic.",Israel,"@johnashik As our Founder Quaid-e-Azam Muhammad Ali Jinnah said:\n""Israel is an illegal child of the west""",true_positive
"NYTimes’ opeds calling for the end of Israel, the tiny sliver of land where Jews exercise sovereignty in their ancestral home:\n\n-Muammar Qaddafi, 1/21/09\n-Peter Beinart, 7/8/20\n\nCan anyone recall the NYTimes publishing opeds urging the end of any other nation (&amp; UN member)?\n\nHmm.",0,0,126,1285710552438800385,2020-07-21 22:57:37+00:00,EastHillRoad,"The text criticizes the New York Times for publishing opinion pieces calling for the end of Israel, comparing this to a lack of similar calls for ending other nations. While it discusses Israel-related content, it does not contain antisemitic allegations, stereotypes, or rhetoric targeting Jews as defined by the IHRA guidelines.",Israel,"NYTimes’ opeds calling for the end of Israel, the tiny sliver of land where Jews exercise sovereignty in their ancestral home:\n\n-Muammar Qaddafi, 1/21/09\n-Peter Beinart, 7/8/20\n\nCan anyone recall the NYTimes publishing opeds urging the end of any other nation (&amp; UN member)?\n\nHmm.",true_negative
Israel released the videos of Islamist terrorists murdering Jews to show their evilness - now we are being told we could be arrested for watching this ?,0,0,321,1107436008075862017,2019-03-18 00:18:14+00:00,AntisemitismEye,"The text criticizes a policy regarding viewing videos of terrorist attacks without making antisemitic allegations about Jews as a collective, employing antisemitic stereotypes, or targeting Jews based on their Jewish identity. The reference to 'Islamist terrorists murdering Jews' describes a factual event rather than promoting antisemitic conspiracy theories or hatred toward Jews.",Jews,Israel released the videos of Islamist terrorists murdering Jews to show their evilness - now we are being told we could be arrested for watching this ?,true_negative
"Medieval and Renaissance Europe had nothing approaching capitalism, but Jews were still associated with finance and banking, and therefore with hardship faced by ordinary people. Saying capitalism causes antisemitism doesn't just ignore that, it concedes the basic premise",0,0,1467,1258087837703892993,2020-05-06 17:34:49+00:00,TrueMelarki,"The text discusses historical associations between Jews and finance/banking and critiques a theory about capitalism causing antisemitism. While it mentions historical stereotypes, it does not express hatred toward Jews, make dehumanizing allegations, or promote antisemitic conspiracy theories - it appears to be an analytical discussion about the origins of antisemitism rather than expressing antisemitic views itself.",Jews,"Medieval and Renaissance Europe had nothing approaching capitalism, but Jews were still associated with finance and banking, and therefore with hardship faced by ordinary people. Saying capitalism causes antisemitism doesn't just ignore that, it concedes the basic premise",true_negative
Based but wrong. Kikes in govt will get whites to fight for them. Tell em some shit like they can play Pokemon Go in the military and you'll get some tards stomping into Italy,1,1,892,1204863119434113025,2019-12-11 20:38:47+00:00,OURLORDFACE,"The text contains the antisemitic slur 'Kikes' which is a derogatory term for Jews, and promotes the antisemitic stereotype that Jews manipulate governments and use non-Jews to fight wars for their benefit. This falls under the IHRA definition as it expresses hatred toward Jews and employs negative stereotypes about Jewish control and manipulation.",Kikes,@RealTimeWWII Based but wrong. Kikes in govt will get whites to fight for them. Tell em some shit like they can play Pokemon Go in the military and you'll get some tards stomping into Italy,true_positive
"Davis states �Palestine has occupied a pivotal place, because of similarities between Israel &amp; the US�settler colonialism &amp; their ethnic cleansing processes with respect to Indigenous people, their systems of segregation, use of legal systems to enact systematic repression.�",1,0,1106,1271283431801053184,2020-06-12 03:29:24+00:00,_fmary,"The text presents a political critique comparing Israeli and US policies regarding Indigenous peoples and settler colonialism. While critical of Israel, this represents criticism similar to that leveled against other countries and does not contain antisemitic stereotypes, conspiracy theories, or other elements defined as antisemitic by the IHRA definition.",Israel,"Davis states �Palestine has occupied a pivotal place, because of similarities between Israel &amp; the US�settler colonialism &amp; their ethnic cleansing processes with respect to Indigenous people, their systems of segregation, use of legal systems to enact systematic repression.�",false_negative
"RT : �He made known his ways unto Moses, his acts unto the children of Israel.� Psalms 103:7 #benefits #Jesus",0,0,1064,1287883303396155392,2020-07-27 22:51:21+00:00,rose29537642,"This text is a biblical quote from Psalms 103:7 with a religious hashtag reference to Jesus. It contains no negative characterizations, stereotypes, or hostile rhetoric directed toward Jews or Jewish people, and does not meet any of the IHRA definition criteria for antisemitism.",Israel,"RT @ChristIsComing4: �He made known his ways unto Moses, his acts unto the children of Israel.� Psalms 103:7 #benefits #Jesus",true_negative
"Today marks Holocaust Remembrance Day and 75 years since the liberation of Auschwitz. As we remember the six million Jews that were murdered in the Holocaust, let us recommit to the promise of ‘never again’ by working to eliminate anti-Semitism and bigotry wherever we see it.",0,0,476,1221939446792089600,2020-01-27 23:34:01+00:00,RuggeriLynnette,"This text commemorates Holocaust Remembrance Day and acknowledges the murder of six million Jews, which aligns with historical facts. It calls for eliminating antisemitism rather than promoting it, making it clearly not antisemitic by the IHRA definition.",Jews,"Today marks Holocaust Remembrance Day and 75 years since the liberation of Auschwitz. As we remember the six million Jews that were murdered in the Holocaust, let us recommit to the promise of ‘never again’ by working to eliminate anti-Semitism and bigotry wherever we see it.",true_negative
"Zionism is an ideology not an ethnicity or religion.\n\nMany Jews are not Zionists, most Zionist are not Jews and some of the most famous Zionists in history were white supremacist antisemites.\n\nBtw Israel is about to illegally annexe  another country because they feel emboldened.",1,0,518,1277557030140641281,2020-06-29 10:58:26+00:00,melaniekmelvin,"The text distinguishes between Zionism as an ideology and Judaism as an ethnicity/religion, noting that many Jews are not Zionists. While it criticizes Israeli actions, this represents political criticism of Israel similar to criticism leveled against other countries, which the IHRA definition explicitly states cannot be regarded as antisemitic.",Jews,"@RealMattLucas Zionism is an ideology not an ethnicity or religion.\n\nMany Jews are not Zionists, most Zionist are not Jews and some of the most famous Zionists in history were white supremacist antisemites.\n\nBtw Israel is about to illegally annexe  another country because they feel emboldened.",false_negative
"RT : Notorious anti-Semite terror supporter Linda Sarsour�s BFF, B�rgermeister Warren Wilhelm, has a message for NYC�s Jews:",0,0,1160,1255472644285235201,2020-04-29 12:22:58+00:00,nojoe21,"While the text contains negative characterizations and uses inflammatory language about individuals, it does not contain antisemitic content according to the IHRA definition. The text does not make stereotypical allegations about Jews as a collective, promote conspiracy theories about Jewish power, or employ classic antisemitic tropes or imagery.",Jews,"RT @johncardillo: Notorious anti-Semite terror supporter Linda Sarsour�s BFF, B�rgermeister Warren Wilhelm, has a message for NYC�s Jews:",true_negative
"Hey, you know who benefits from blaming Islamophobia on Jews and antisemitism on Muslims?\n\nThe white supremacists who keep killing us, that's who.",0,0,312,1107156797687775232,2019-03-17 05:48:45+00:00,librariecheryl,"The text does not express hatred toward Jews or make antisemitic allegations. Instead, it argues against blaming Jews for Islamophobia and Muslims for antisemitism, suggesting that white supremacists benefit from such divisive blame. The text does not contain stereotypes, conspiracy theories, or other antisemitic content as defined by IHRA.",Jews,"Hey, you know who benefits from blaming Islamophobia on Jews and antisemitism on Muslims?\n\nThe white supremacists who keep killing us, that's who.",true_negative
Lots of American Jews feeling no Love for Right Wing Criminals in Israeli Government. #IStandWithIlhan,0,0,346,1102580197986131968,2019-03-04 14:42:58+00:00,DuchessRutabaga,"The text criticizes the Israeli government as 'Right Wing Criminals' but does not target Jews as a people or employ antisemitic stereotypes. It specifically distinguishes between American Jews (who are portrayed positively as opposing the Israeli government) and the Israeli government itself, which indicates criticism of Israel similar to that leveled against other countries rather than antisemitic targeting of Jews as a collective.",Jews,@IlhanMN Lots of American Jews feeling no Love for Right Wing Criminals in Israeli Government. #IStandWithIlhan,true_negative
"It's so funny when Zionists argue, ""if you boycott Israel, how come you don't boycott Saudi? or China?"" First of all, thank you for finally admitting Israel is responsible for egregious human rights abuses because it took a while",1,0,1048,1296570907834687488,2020-08-20 22:12:48+00:00,hajernshit,"The text criticizes Israel's human rights record and points out perceived inconsistency in boycott arguments, but this constitutes criticism similar to that leveled against other countries. The text does not employ antisemitic stereotypes, deny Jewish self-determination, or apply double standards requiring behavior not expected of other democratic nations.",Israel,"It's so funny when Zionists argue, ""if you boycott Israel, how come you don't boycott Saudi? or China?"" First of all, thank you for finally admitting Israel is responsible for egregious human rights abuses because it took a while",false_negative
"Jabir bin 'Abd Allah said:\n\n""The Prophet (ﷺ) had a man and a woman of the Jews who had committed fornication stoned to death.""\n\n(Abi Dawud 4455)",0,0,549,1276897477107625984,2020-06-27 15:17:36+00:00,islam_remind_en,"This text is a religious hadith (Islamic tradition) recounting a historical event about the Prophet Muhammad ordering the stoning of two Jewish individuals for adultery. While it mentions Jews, it does not express hatred toward Jews as a group, employ antisemitic stereotypes, or make mendacious allegations about Jewish people collectively. It is a religious text describing a specific historical incident rather than antisemitic rhetoric.",Jews,"Jabir bin 'Abd Allah said:\n\n""The Prophet (ﷺ) had a man and a woman of the Jews who had committed fornication stoned to death.""\n\n(Abi Dawud 4455)",true_negative
The leader of the Republican Party believes in Concentration Camps.\n\nOk MAGA Jews - looking at you  - what do you have to say?,0,0,811,1273488599716110336,2020-06-18 05:31:57+00:00,StacyMichelleB,"While the text mentions 'MAGA Jews' and references concentration camps, it appears to be political criticism directed at Republican leadership rather than expressing hatred toward Jews or employing antisemitic stereotypes. The text does not make mendacious allegations about Jews as a collective, nor does it employ classic antisemitic tropes or stereotypes.",Jews,The leader of the Republican Party believes in Concentration Camps.\n\nOk MAGA Jews - looking at you @benshapiro - what do you have to say?,true_negative
Polish Jews were horribly oppressed for about 700 years. The very idea that Jews in Poland had any power over non-Jewish Poles is laughable.,0,0,1443,1334888656532889601,2020-12-04 15:53:51+00:00,salkken,"The text discusses historical oppression of Polish Jews and refutes claims about Jewish power over non-Jews. This is a factual historical statement that does not express hatred toward Jews, make stereotypical allegations, or employ antisemitic tropes according to the IHRA definition.",Jews,@Donaldfubu Polish Jews were horribly oppressed for about 700 years. The very idea that Jews in Poland had any power over non-Jewish Poles is laughable.,true_negative
"😪😡 The zionazis will pay for the atrocities committed, the horrendous crimes against defenceless people of Palestine.",1,1,939,1195309801024163840,2019-11-15 11:57:19+00:00,FernandoFalco3,"The text uses the term 'zionazis' which is a portmanteau combining 'Zionist' and 'Nazi', constituting a comparison of contemporary Israeli policy to that of the Nazis as specified in guideline 2.1.10. This represents antisemitic rhetoric by drawing Nazi comparisons to characterize Israel or Israelis.",ZioNazi,"@WGazapal 😪😡 The zionazis will pay for the atrocities committed, the horrendous crimes against defenceless people of Palestine.",true_positive
"Israel settlers are psicopath zionazis murderes, the scum of many other countries. 😡",1,1,940,1189529725041020928,2019-10-30 13:09:21+00:00,FernandoFalco3,"The text uses the derogatory term 'zionazis' which draws comparisons between Israeli policy and Nazis (guideline 2.1.10), and employs dehumanizing language calling Israeli settlers 'psychopath murderers' and 'scum', which constitutes demonizing allegations about Jews as a collective when targeting Israel as a Jewish collectivity (guidelines 2.1.2 and manifestation 1).",ZioNazi,"@palinfoen Israel settlers are psicopath zionazis murderes, the scum of many other countries. 😡",true_positive
"Thirty-one UN member states�do not recognize Israel. These include 19 of the 22 members of the Arab League: Algeria, Bahrain, Comoros, Djibouti, Iraq, Kuwait, Lebanon, Libya, Mauritania, Morocco, Oman, Qatar, Saudi Arabia, Somalia, Sudan, Syria, Tunisia, and Yemen.",0,0,1098,1300366300355670017,2020-08-31 09:34:20+00:00,Aabekosar,"This text presents factual information about UN member states that do not recognize Israel, listing specific countries. It does not contain hatred toward Jews, stereotypes about Jews, or denial of Jewish people's right to self-determination - it simply states diplomatic recognition status without making value judgments.",Israel,"@iamAhmadokz Thirty-one UN member states�do not recognize Israel. These include 19 of the 22 members of the Arab League: Algeria, Bahrain, Comoros, Djibouti, Iraq, Kuwait, Lebanon, Libya, Mauritania, Morocco, Oman, Qatar, Saudi Arabia, Somalia, Sudan, Syria, Tunisia, and Yemen.",true_negative
"That said, I was wrong. I should have done more research before saying anything. In such research, I found that this particular temple does support Israel and regularly supports trips and classes there. They do support apartheid and that is horrific.",1,1,1046,1299019798358130690,2020-08-27 16:23:49+00:00,e_stenzel,"The text accuses Israel of being an apartheid state and characterizes support for Israel as supporting apartheid. According to IHRA guideline 2.1.7, claiming that the existence of a State of Israel is a racist endeavor (such as an apartheid state) constitutes denying the Jewish people their right to self-determination and is therefore antisemitic.",Israel,"That said, I was wrong. I should have done more research before saying anything. In such research, I found that this particular temple does support Israel and regularly supports trips and classes there. They do support apartheid and that is horrific.",true_positive
"Today marks Holocaust Remembrance Day and 75 years since the liberation of Auschwitz. As we remember the six million Jews that were murdered in the Holocaust, let us recommit to the promise of ‘never again’ by working to eliminate anti-Semitism and bigotry wherever we see it.",0,0,373,1221974757345779715,2020-01-28 01:54:20+00:00,BBlackstone1,"This text commemorates Holocaust Remembrance Day and acknowledges the murder of six million Jews, which aligns with historical facts. It calls for eliminating antisemitism rather than promoting it, making it clearly not antisemitic by the IHRA definition.",Jews,"Today marks Holocaust Remembrance Day and 75 years since the liberation of Auschwitz. As we remember the six million Jews that were murdered in the Holocaust, let us recommit to the promise of ‘never again’ by working to eliminate anti-Semitism and bigotry wherever we see it.",true_negative
"The Jews say, ""Ezra is the son of Allah"" and the Christians say, ""The Messiah is the son of Allah."" That is their statement from their mouths; they imitate the saying of those who disbelieved (before them). May Allah destroy them; how are they deluded? [Qur'an 9:30]",1,1,224,1195776257960501248,2019-11-16 18:50:51+00:00,mdkhalidakhter,The text contains a religious curse against Jews ('May Allah destroy them') which constitutes a call for harm against Jews based on their religious identity. This falls under the IHRA definition as it expresses hatred toward Jews and calls for their destruction.,Jews,"The Jews say, ""Ezra is the son of Allah"" and the Christians say, ""The Messiah is the son of Allah."" That is their statement from their mouths; they imitate the saying of those who disbelieved (before them). May Allah destroy them; how are they deluded? [Qur'an 9:30]",true_positive
"Following  query, The Prime Minister’s Office added that in #UAE talks, Israel “has not changed its consistent positions against the sale of tie-breaking arms and advanced defense technologies to any state in the Middle East”",0,0,113,1295451822245773313,2020-08-17 20:05:57+00:00,noa_landau,"This text is a factual report about Israel's official position on arms sales in the Middle East during UAE talks. It contains no hatred toward Jews, antisemitic stereotypes, conspiracy theories, or any of the manifestations listed in the IHRA definition.",Israel,"Following @haaretzcom query, The Prime Minister’s Office added that in #UAE talks, Israel “has not changed its consistent positions against the sale of tie-breaking arms and advanced defense technologies to any state in the Middle East”",true_negative
